district,total,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
Chichester,95161,18566,11035,15164,3252,12149,30820,4175,2110,4172,1696,344,2116
Crawley,84549,16995,15257,14427,2887,9555,18214,7214,2301,2495,1254,225,1011
Horsham,106758,17407,14155,18954,3627,13525,34814,4276,3231,2431,1187,126,1110
Mid Sussex,112755,16731,15153,19560,3799,14858,37917,4737,3355,2725,1294,135,1282
Worthing,85971,18319,12320,14966,3147,10774,22314,4131,1997,2501,1283,215,988
Bath and North East Somerset,146439,25140,16175,20828,5472,24095,48910,5819,3758,15932,4369,1030,10507
Bournemouth,155224,29720,20105,24086,5852,24412,40951,10098,3064,15079,4972,1249,8829
"Bristol, City of",349653,70478,41487,44592,10260,51006,114621,17209,7782,35638,10609,2425,22545
Cornwall,442332,99237,59206,76782,20102,57917,110518,18570,11102,15880,5876,1313,8609
Isles of Scilly,1857,264,201,309,78,304,613,88,6,14,4,2,8
North Somerset,165914,32539,22752,28542,7247,21012,47041,6781,4270,4273,2048,304,1874
Plymouth,211502,47073,28541,35452,11004,35009,45379,9044,5233,19376,5692,1559,12093
Poole,121986,26108,17573,20298,5917,15229,31143,5718,3093,3920,1659,302,1942
South Gloucestershire,212837,39618,31661,35490,11435,29111,56805,8717,6089,8296,3655,687,3910
Swindon,167774,34424,29257,29098,7597,19526,38097,9775,4505,4558,2238,409,1879
Torbay,109290,28215,16398,18889,5110,12905,22564,5209,2760,2593,1182,275,1119
Wiltshire,380013,70782,53242,65411,14616,48130,112067,15765,11075,8294,4090,576,3575
East Devon,112002,23597,14651,19009,4625,12708,32573,4839,2751,1967,955,129,861
Exeter,99066,18156,12467,13998,3165,18000,28291,4989,1990,14307,3416,818,10061
Mid Devon,63200,14323,8723,10796,2420,7648,16716,2574,1694,1211,541,76,588
North Devon,77378,18613,11157,13288,3663,9616,17732,3309,1962,1674,817,132,710
South Hams,69868,12047,8433,11361,3044,8456,23946,2581,1759,1612,740,105,750
Teignbridge,103738,22353,14007,17189,4632,12196,29014,4347,2645,2210,1033,169,995
Torridge,53321,13550,7599,9320,2626,6434,11552,2240,1332,921,397,70,449
West Devon,44652,9077,5767,7519,1740,5306,13410,1833,1147,946,439,52,448
Christchurch,40289,9421,5509,6718,2110,4556,10132,1843,933,872,367,46,455
East Dorset,73557,15830,9897,12047,3884,8505,20364,3030,1735,1488,817,77,577
North Dorset,56230,11219,7989,10020,2312,7058,15137,2495,1740,1053,405,61,575
Purbeck,37678,8122,5401,6328,1891,4559,9687,1690,930,695,349,29,316
West Dorset,83536,16801,10494,13761,3674,9875,25691,3240,2338,1554,738,79,728
Weymouth and Portland,54306,12236,8094,9447,2804,7102,12207,2416,1355,1260,582,114,554
Cheltenham,96008,15904,10906,13778,3021,13216,34782,4401,2574,6725,2806,531,3379
Cotswold,69138,12758,8865,10957,2236,8225,23267,2830,1766,2235,737,87,1402
Forest of Dean,67947,16664,9750,11416,3045,8128,16285,2659,2148,1997,769,165,1050
Gloucester,97531,21247,15704,16831,4180,12832,21651,5086,2734,3797,1640,299,1850
Stroud,92251,16788,11898,14372,4296,11257,30324,3316,2702,2169,995,128,1035
Tewkesbury,67358,12667,9251,11230,2932,8214,20329,2735,1702,1433,731,91,602
Mendip,88882,19054,12036,15180,3610,10697,24769,3536,3067,2147,951,124,1062
Sedgemoor,93922,23534,13815,16048,4386,11103,20778,4258,2681,2242,1065,185,972
South Somerset,132625,29089,18212,22503,6922,16481,33228,6190,3373,2618,1326,143,1132
Taunton Deane,90109,18510,11674,16101,3295,11068,25348,4113,2756,2584,1169,144,1263
West Somerset,29844,7403,4066,4989,1195,3189,7415,1587,616,549,201,34,306
Anglesey,57890,13991,7342,9406,2739,6887,15098,2427,1500,1941,732,107,1091
Gwynedd,100923,23365,11889,16238,3783,14638,26673,4337,2462,8961,2321,715,5903
Conwy,96102,24577,12553,15472,3786,10841,24473,4400,2546,2970,1290,171,1479
Denbighshire,76781,19540,10723,12888,2929,8762,18615,3324,2260,2624,940,229,1441
Flintshire,123862,29116,19076,21398,6031,15098,27791,5352,3616,3595,1674,256,1650
Wrexham,109026,29094,15195,17584,4292,12557,24851,5453,2776,4685,1909,442,2319
Powys,110083,27273,13850,18040,4223,12714,28991,4992,3062,2366,999,112,1244
Ceredigion,64692,12824,6811,9676,2094,12451,18064,2772,1425,9893,2155,1087,6628
Pembrokeshire,100362,24668,13695,16858,4323,11812,24849,4157,2726,2407,1025,138,1228
Carmarthenshire,150763,40334,19683,24748,6514,16832,36036,6616,4059,5025,1930,336,2736
Swansea,197627,47316,24405,30216,8472,27507,51081,8630,4717,18548,5463,1409,11637
Neath Port Talbot,115175,35607,16557,18371,5856,12629,21636,4519,3091,3395,1333,256,1791
Bridgend,113890,32282,15932,18198,4748,12328,25699,4703,3060,3323,1335,249,1723
The Vale of Glamorgan,102504,20964,13210,17287,4287,12179,30527,4050,3132,3237,1279,221,1714
Cardiff,283115,58688,31039,36812,7882,43037,91522,14135,6723,36348,10530,2942,22832
"Rhondda, Cynon, Taff",190116,60403,26718,29749,6711,21714,37168,7653,5110,9863,3328,915,5575
Merthyr Tydfil,47842,16407,6832,7221,1755,4810,8493,2324,1371,1709,612,149,938
Caerphilly,143825,45102,21459,23361,5595,16154,26843,5311,4142,4371,1592,352,2394
Blaenau Gwent,57321,20662,9035,8879,2032,5644,8689,2380,1631,1636,562,169,894
Torfaen,73833,21329,11094,12052,3182,8267,14976,2933,2160,2127,920,188,1002
Monmouthshire,75080,15521,9446,11531,2924,8107,24839,2712,2343,1877,756,113,1000
Newport,116348,31454,16399,17834,4685,13203,27202,5571,3308,5903,2201,682,3001
