district,total,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
Burnley,69915,20512,10075,11046,3251,8606,13092,3333,1884,2392,905,219,1261
Chorley,87532,18594,11760,14210,4225,11052,24361,3330,2204,2318,1119,133,1056
Fylde,63757,13497,7638,10560,2678,7826,18982,2576,1573,1630,823,118,679
Hyndburn,64092,17942,8868,10400,3547,8043,12132,3160,1880,2304,1016,250,1030
Lancaster,115405,23804,13178,17539,4231,20214,31396,5043,2820,13603,3738,840,9015
Pendle,71128,20031,9477,10758,3404,8914,14392,4152,1889,2479,994,240,1236
Preston,113422,26601,14311,16410,4380,17171,27930,6619,2880,12055,4277,1451,6307
Ribble Valley,46552,8533,5175,7126,2339,5841,15817,1721,1391,1282,665,50,561
Rossendale,54811,13130,7504,9068,2201,7146,13776,1986,1641,1673,677,151,840
South Ribble,89163,18136,12038,14825,5165,12242,23537,3220,2336,2583,1342,176,1060
West Lancashire,90712,21296,12150,14318,3600,12652,23000,3696,2548,5539,2195,580,2745
Wyre,90467,23409,12155,15052,4370,10898,20793,3790,2471,2870,1345,211,1308
Knowsley,117225,40647,17774,18907,4037,13788,18120,3952,3607,4591,1781,507,2279
Liverpool,388315,111532,48659,55019,9866,59067,87126,17046,9621,46227,13255,4678,28221
Sefton,226435,56921,31674,37522,8810,28214,54490,8804,6321,8286,3655,744,3840
St. Helens,143372,39950,20522,23930,6251,17408,29924,5387,3954,4480,1812,441,2207
Wirral,260498,61014,35570,44986,11048,32688,65809,9383,7426,8419,3204,766,4388
East Riding of Yorkshire,278333,65035,36228,45111,14051,33672,72004,12232,7250,8267,3483,696,4030
"Kingston upon Hull, City of",208040,65851,30362,32099,8371,27284,31687,12386,5315,14550,4166,1344,9008
North East Lincolnshire,129377,38209,20816,23003,6002,13998,20970,6379,3557,4173,1502,511,2143
North Lincolnshire,136105,35633,21498,22796,6636,15917,26583,7042,3650,3647,1428,355,1849
York,166275,29863,17636,23070,7429,27590,53875,6812,3667,19002,5730,1346,11900
Craven,46161,9356,5418,7263,2103,5655,14663,1703,1236,1048,523,72,449
Hambleton,74039,14536,8869,11914,3015,9015,23736,2954,1848,1476,736,57,673
Harrogate,129036,22312,15280,21135,4649,15220,44002,6438,3718,2963,1489,117,1342
Richmondshire,42698,7925,6419,7681,1590,5269,11513,2301,950,684,338,39,304
Ryedale,43200,10369,5427,7033,1768,4900,11793,1910,1266,812,367,45,393
Scarborough,91402,23755,11781,14853,4862,11027,20742,4382,2164,3259,1250,327,1665
Selby,68135,14431,9535,11323,3402,8731,17786,2927,1921,1486,750,111,619
Barnsley,188335,60890,26913,30550,7716,21342,32724,8200,4905,4942,1986,462,2458
Doncaster,244909,74119,37763,41607,10958,26126,41714,12622,6679,6466,2390,568,3466
Rotherham,208018,62076,32284,35048,9065,24001,36165,9379,5829,5666,2254,545,2830
Sheffield,452014,109841,55566,62097,16192,71594,116007,20717,10970,55021,14727,5166,35045
Bradford,400121,110892,56413,59350,15131,45101,87397,25837,12568,22342,7087,2429,12761
Calderdale,163645,38943,22314,26507,7989,20079,40881,6932,4551,5247,2161,451,2620
Kirklees,336309,85554,44435,50474,16232,42257,80275,17082,9333,18358,6442,1794,10070
Leeds,613992,142481,77294,86614,22893,90497,165429,28784,14928,59741,19022,6305,34318
Wakefield,265797,82621,38778,42790,11636,28205,48772,12995,6985,6300,2602,527,3134
Derby,198076,47731,26294,28681,9793,25838,47955,11784,5400,12910,4526,1353,7000
Leicester,260560,74409,33751,32781,5309,33888,55223,25199,7748,32323,8572,3138,20555
Nottingham,250104,63991,30619,32333,5715,46411,54875,16160,5762,45921,9678,3653,32541
Rutland,30683,5453,3729,5373,1114,3834,10096,1084,1354,777,301,32,437
Amber Valley,100841,27220,13986,15627,4683,12086,23346,3893,2685,2296,1025,157,1093
Bolsover,62192,20455,9520,10195,2308,7064,9853,2797,1665,1488,621,134,724
Chesterfield,85595,23618,12252,14567,3441,10342,17994,3381,2327,2152,919,199,1012
Derbyshire Dales,59299,12773,7088,8870,1992,6572,19816,2188,1536,1236,551,55,625
Erewash,91948,23808,14091,15197,4851,11350,19015,3636,2525,2343,1023,184,1121
High Peak,74416,15520,9771,11931,2943,9779,21884,2588,2058,2547,983,212,1341
North East Derbyshire,82699,22277,11752,13731,3632,9838,18340,3129,2107,1961,839,135,977
South Derbyshire,75910,16707,10674,12617,3663,9738,19701,2810,2251,2016,939,139,934
Blaby,76334,16964,11097,12257,4360,9378,18988,3290,2179,2233,1059,199,962
Charnwood,137878,28265,16740,19685,6586,23470,36916,6216,3781,15776,3575,887,11297
Harborough,69034,12461,9158,11275,3165,8340,21982,2653,2087,1785,794,80,906
Hinckley and Bosworth,86475,21089,12342,13895,4144,10733,20803,3469,2265,2086,960,134,977
Melton,41237,8808,5793,6794,1994,5225,10785,1838,1130,1048,489,79,473
North West Leicestershire,75791,19691,9988,11639,3426,9411,18402,3234,2036,2150,865,121,1151
Oadby and Wigston,46359,10461,6144,7008,1976,6796,11476,2498,1443,3608,904,285,2413
Boston,53275,17421,7705,8126,1745,4954,8060,5264,1277,1125,474,112,528
East Lindsey,115418,37648,16355,18058,4922,12071,20849,5515,2794,2218,837,185,1178
Lincoln,78190,17134,10349,12587,2899,14395,16644,4182,1752,9441,3242,1180,5010
North Kesteven,88700,19289,12232,15306,3885,11685,22559,3744,2373,1930,935,143,836
South Holland,73354,22628,11195,12070,2710,7354,11586,5811,1815,1199,545,93,555
South Kesteven,109085,23608,15098,18733,5007,13474,27974,5191,3147,2388,1173,201,1009
West Lindsey,73753,16963,10217,12217,3796,8796,18642,3122,2140,1684,753,140,787
Corby,48637,13439,8405,8330,2005,5393,7254,3811,1387,1340,645,101,587
Daventry,63031,11918,9337,10742,2762,7416,18158,2698,1906,1534,731,108,685
East Northamptonshire,69576,15506,10629,12222,3085,8220,16866,3048,2259,1632,719,111,795
Kettering,74809,17079,11565,12720,3244,8814,17406,3981,1971,1808,908,140,757
Northampton,169056,38113,25243,26773,6037,20905,40021,11964,4489,9524,3836,969,4697
South Northamptonshire,68624,11955,9609,11442,3058,8559,21308,2693,1946,1494,809,87,592
Wellingborough,60348,15534,9661,9932,2489,6544,12307,3881,1627,1577,744,147,678
Ashfield,96698,30345,15846,15901,4174,11626,14595,4211,2464,2277,936,221,1100
Bassetlaw,92702,26393,13513,15245,3847,10453,18761,4490,2624,2189,968,192,1018
Broxtowe,90938,21031,11721,13547,4079,11046,25678,3836,2393,4412,1362,252,2781
Gedling,93186,21980,12775,14737,4240,11999,23601,3854,2512,2621,1214,237,1152
Mansfield,85448,25944,13414,14087,3143,10376,13978,4506,2316,2133,945,204,970
Newark and Sherwood,93957,23550,13423,15088,3795,11169,22698,4234,2516,2625,1102,202,1314
Rushcliffe,90551,14835,9411,13032,3061,11861,35307,3044,2455,4563,1617,282,2658
"Herefordshire, County of",151962,34845,19396,24322,5410,18235,41779,7975,3938,3853,1605,255,1969
Shropshire,252979,56943,33158,42594,9289,30749,69558,10688,7183,6516,2629,343,3513
Stoke-on-Trent,200642,67773,28825,31875,7066,23961,31041,10101,5378,11173,4006,1318,5809
Telford and Wrekin,132440,32612,20055,23731,4413,17199,27713,6717,4018,5412,1840,336,3217
Cannock Chase,79027,22278,12884,14034,2861,10021,13606,3343,2249,2123,960,232,926
East Staffordshire,91821,22671,13019,14802,3849,10752,21466,5262,2691,2518,1169,218,1119
Lichfield,83057,18622,11388,13304,2939,9779,23604,3421,2269,2196,992,151,1046
