district,total,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked,Males: Total,Males: Part-time: 15 hours or less worked,Males: Part-time: 16 to 30 hours worked,Males: Full-time: 31 to 48 hours worked,Males: Full-time: 49 or more hours worked,Females: Total,Females: Part-time: 15 hours or less worked,Females: Part-time: 16 to 30 hours worked,Females: Full-time: 31 to 48 hours worked,Females: Full-time: 49 or more hours worked
Thanet,55200,5560,12568,30228,6844,28293,1847,3365,17952,5129,26907,3713,9203,12276,1715
Tonbridge and Malling,59993,6201,11083,33176,9533,31691,1672,2399,19987,7633,28302,4529,8684,13189,1900
Tunbridge Wells,57234,5958,10293,31264,9719,30865,1641,2636,18995,7593,26369,4317,7657,12269,2126
Cherwell,74829,6853,13311,43981,10684,39567,1983,2814,26506,8264,35262,4870,10497,17475,2420
Oxford,69807,8049,12267,40184,9307,36187,3223,3770,22824,6370,33620,4826,8497,17360,2937
South Oxfordshire,70087,7152,12252,39517,11166,37187,2000,2720,23998,8469,32900,5152,9532,15519,2697
Vale of White Horse,63181,6012,11104,36689,9376,33743,1755,2426,22404,7158,29438,4257,8678,14285,2218
West Oxfordshire,56515,5452,9768,32351,8944,29919,1508,1956,19567,6888,26596,3944,7812,12784,2056
Elmbridge,64730,6474,10465,34267,13524,34706,1805,2520,20053,10328,30024,4669,7945,14214,3196
Epsom and Ewell,38005,3979,6677,21691,5658,19954,1143,1604,12851,4356,18051,2836,5073,8840,1302
Guildford,70021,8222,11523,38674,11602,37615,2458,2762,23453,8942,32406,5764,8761,15221,2660
Mole Valley,42422,4802,7685,22730,7205,22571,1303,1835,13877,5556,19851,3499,5850,8853,1649
Reigate and Banstead,71236,6787,12019,41301,11129,37728,1938,2895,24378,8517,33508,4849,9124,16923,2612
Runnymede,40651,4484,6718,22964,6485,21477,1349,1698,13503,4927,19174,3135,5020,9461,1558
Spelthorne,50161,4278,8251,30880,6752,26489,1298,1902,18206,5083,23672,2980,6349,12674,1669
Surrey Heath,44968,4487,7561,25306,7614,24164,1293,1792,15132,5947,20804,3194,5769,10174,1667
Tandridge,41813,4359,7303,23040,7111,21975,1220,1690,13610,5455,19838,3139,5613,9430,1656
Waverley,59178,7034,10632,30875,10637,31643,1911,2453,19027,8252,27535,5123,8179,11848,2385
Woking,51341,4878,8230,30103,8130,28025,1480,2161,18100,6284,23316,3398,6069,12003,1846
Adur,29356,2986,6340,16602,3428,15301,900,1575,10158,2668,14055,2086,4765,6444,760
Arun,67443,7429,14018,37119,8877,34913,2205,3570,22290,6848,32530,5224,10448,14829,2029
Chichester,53285,6703,10619,27171,8792,27815,1937,2699,16449,6730,25470,4766,7920,10722,2062
Crawley,55466,4573,9684,35078,6131,29560,1425,2504,20890,4741,25906,3148,7180,14188,1390
Horsham,66299,7634,12263,35840,10562,34830,2059,2728,21948,8095,31469,5575,9535,13892,2467
Mid Sussex,72229,7643,13549,40343,10694,38103,2124,3013,24667,8299,34126,5519,10536,15676,2395
Worthing,50611,5210,10129,29243,6029,26218,1600,2475,17599,4544,24393,3610,7654,11644,1485
Bath and North East Somerset,84858,10836,17319,45652,11051,44083,3282,4183,28225,8393,40775,7554,13136,17427,2658
Bournemouth,89186,9815,17617,51165,10589,47594,3544,5112,30758,8180,41592,6271,12505,20407,2409
"Bristol, City of",209995,21333,39767,126250,22645,110813,7193,11087,75850,16683,99182,14140,28680,50400,5962
Cornwall,244527,26426,56519,127948,33634,127776,7927,15037,79381,25431,116751,18499,41482,48567,8203
Isles of Scilly,1311,93,229,745,244,694,26,63,445,160,617,67,166,300,84
North Somerset,97563,10516,20281,53501,13265,51037,3059,4473,33066,10439,46526,7457,15808,20435,2826
Plymouth,117466,12119,25747,66730,12870,61712,3933,6136,41442,10201,55754,8186,19611,25288,2669
Poole,71709,7489,14262,40868,9090,38189,2247,3353,25355,7234,33520,5242,10909,15513,1856
South Gloucestershire,136531,14081,26827,79877,15746,72052,3750,5192,50426,12684,64479,10331,21635,29451,3062
Swindon,109499,9044,18995,69787,11673,59034,2733,4173,42889,9239,50465,6311,14822,26898,2434
Torbay,56912,5710,13728,30781,6693,29353,1863,3739,18717,5034,27559,3847,9989,12064,1659
Wiltshire,239216,24274,44491,132635,37816,128455,6700,9751,81830,30174,110761,17574,34740,50805,7642
East Devon,59908,7045,13520,30304,9039,31355,2081,3466,18740,7068,28553,4964,10054,11564,1971
Exeter,57139,6861,12094,32286,5898,29331,2318,3120,19416,4477,27808,4543,8974,12870,1421
Mid Devon,38508,4072,8042,20216,6178,20226,1102,1854,12420,4850,18282,2970,6188,7796,1328
North Devon,44754,4823,10178,23096,6657,23675,1464,2593,14529,5089,21079,3359,7585,8567,1568
South Hams,39999,4841,9006,19675,6477,20817,1377,2352,12076,5012,19182,3464,6654,7599,1465
Teignbridge,58962,6587,13061,31183,8131,30456,1978,3306,18972,6200,28506,4609,9755,12211,1931
Torridge,29402,3298,6689,14757,4658,15550,876,1715,9315,3644,13852,2422,4974,5442,1014
West Devon,25241,3043,5509,12144,4545,13105,905,1424,7393,3383,12136,2138,4085,4751,1162
Christchurch,20301,2379,4536,10881,2505,10666,716,1146,6833,1971,9635,1663,3390,4048,534
East Dorset,40050,5085,8277,20735,5953,21088,1407,1850,13073,4758,18962,3678,6427,7662,1195
North Dorset,33432,3575,6367,17689,5801,18230,928,1398,11301,4603,15202,2647,4969,6388,1198
Purbeck,21419,2510,4549,11187,3173,11462,699,1115,7124,2524,9957,1811,3434,4063,649
West Dorset,45714,5554,10018,23278,6864,23910,1606,2551,14495,5258,21804,3948,7467,8783,1606
Weymouth and Portland,29987,3128,7119,16235,3505,15874,994,1949,10238,2693,14113,2134,5170,5997,812
Cheltenham,59183,6017,10967,35130,7069,31276,1949,2841,21329,5157,27907,4068,8126,13801,1912
Cotswold,41529,4995,7887,21363,7284,21988,1323,1903,13181,5581,19541,3672,5984,8182,1703
Forest of Dean,39068,4281,7946,21257,5584,20801,1140,1796,13446,4419,18267,3141,6150,7811,1165
Gloucester,61374,5501,12479,37214,6180,32162,1716,2726,22825,4895,29212,3785,9753,14389,1285
Stroud,57342,6433,11609,31518,7782,30419,1824,2603,19978,6014,26923,4609,9006,11540,1768
Tewkesbury,41544,4113,7983,23936,5512,21884,1140,1701,14735,4308,19660,2973,6282,9201,1204
Mendip,53845,6142,11649,27621,8433,28097,1671,2763,17040,6623,25748,4471,8886,10581,1810
Sedgemoor,54540,5839,11544,29686,7471,28870,1653,2621,18705,5891,25670,4186,8923,10981,1580
South Somerset,78771,8209,16094,43608,10860,42308,2354,3463,27929,8562,36463,5855,12631,15679,2298
Taunton Deane,54244,5414,11631,29882,7317,28004,1636,2644,18032,5692,26240,3778,8987,11850,1625
West Somerset,15355,1688,3510,7782,2375,8055,498,1056,4779,1722,7300,1190,2454,3003,653
Anglesey,30431,2772,6374,17412,3873,16061,832,1640,10528,3061,14370,1940,4734,6884,812
Gwynedd,53961,5791,11670,29345,7155,28391,1876,3283,17692,5540,25570,3915,8387,11653,1615
Conwy,50093,4659,11559,27261,6614,25780,1603,3271,15833,5073,24313,3056,8288,11428,1541
Denbighshire,41156,3641,8980,23169,5366,21194,1219,2393,13368,4214,19962,2422,6587,9801,1152
Flintshire,74049,6618,14821,44653,7957,38941,1958,3208,27443,6332,35108,4660,11613,17210,1625
Wrexham,63614,5440,13202,37826,7146,33532,1597,3026,23123,5786,30082,3843,10176,14703,1360
Powys,63653,6154,13120,32577,11802,33893,1811,3252,19545,9285,29760,4343,9868,13032,2517
Ceredigion,32446,4011,6762,16329,5344,17127,1446,2034,9667,3980,15319,2565,4728,6662,1364
Pembrokeshire,54217,5486,12430,27735,8566,28642,1645,3058,17317,6622,25575,3841,9372,10418,1944
Carmarthenshire,80680,6932,17204,44798,11746,41938,2248,4486,26279,8925,38742,4684,12718,18519,2821
Swansea,102793,10618,23454,58644,10077,53508,3734,6504,35336,7934,49285,6884,16950,23308,2143
Neath Port Talbot,58980,4688,12659,36034,5599,31033,1445,2736,22351,4501,27947,3243,9923,13683,1098
Bridgend,61259,5029,12918,36822,6490,32157,1532,3031,22406,5188,29102,3497,9887,14416,1302
The Vale of Glamorgan,58978,5358,12312,33652,7656,30655,1687,2976,19965,6027,28323,3671,9336,13687,1629
Cardiff,159614,16612,31279,94722,17001,82702,6068,9336,54706,12592,76912,10544,21943,40016,4409
"Rhondda, Cynon, Taff",99327,8196,20736,61047,9348,51755,2520,4730,36955,7550,47572,5676,16006,24092,1798
Merthyr Tydfil,25099,1921,5198,15662,2318,13036,632,1274,9269,1861,12063,1289,3924,6393,457
Caerphilly,77488,5815,15097,49005,7571,40618,1752,3503,29320,6043,36870,4063,11594,19685,1528
Blaenau Gwent,28291,2134,5849,17820,2488,14866,695,1412,10715,2044,13425,1439,4437,7105,444
Torfaen,40261,3264,8280,24940,3777,20858,993,1853,15001,3011,19403,2271,6427,9939,766
Monmouthshire,42817,4240,8459,23344,6774,22640,1291,2014,14096,5239,20177,2949,6445,9248,1535
Newport,64408,5681,14150,37808,6769,33633,1870,3647,22755,5361,30775,3811,10503,15053,1408
