district,total,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked,Males: Total,Males: Part-time: 15 hours or less worked,Males: Part-time: 16 to 30 hours worked,Males: Full-time: 31 to 48 hours worked,Males: Full-time: 49 or more hours worked,Females: Total,Females: Part-time: 15 hours or less worked,Females: Part-time: 16 to 30 hours worked,Females: Full-time: 31 to 48 hours worked,Females: Full-time: 49 or more hours worked
Stevenage,42738,3763,7699,26580,4696,22608,1190,1762,15971,3685,20130,2573,5937,10609,1011
Three Rivers,43999,4452,7808,24681,7058,23202,1219,1820,14754,5409,20797,3233,5988,9927,1649
Watford,47634,4133,7863,29683,5955,25454,1373,2258,17441,4382,22180,2760,5605,12242,1573
Welwyn Hatfield,52981,6354,9380,30270,6977,28016,2142,2391,18090,5393,24965,4212,6989,12180,1584
Breckland,61301,6142,11784,33755,9620,33117,1658,2709,20851,7899,28184,4484,9075,12904,1721
Broadland,61541,6867,13076,33616,7982,32512,1813,2849,21345,6505,29029,5054,10227,12271,1477
Great Yarmouth,41264,4375,9693,21806,5390,21955,1218,2543,13702,4492,19309,3157,7150,8104,898
King`s Lynn and West Norfolk,67268,6841,13313,37137,9977,36131,1890,3078,23165,7998,31137,4951,10235,13972,1979
North Norfolk,43183,5122,9384,22359,6318,23025,1422,2608,14017,4978,20158,3700,6776,8342,1340
Norwich,62424,7139,12223,36390,6672,32923,2479,3715,21803,4926,29501,4660,8508,14587,1746
South Norfolk,60333,6847,12149,32039,9298,31755,1832,2743,19804,7376,28578,5015,9406,12235,1922
Babergh,42250,4938,8266,22511,6535,22553,1320,1879,14156,5198,19697,3618,6387,8355,1337
Forest Heath,31540,2577,4781,18456,5726,17679,724,1142,11282,4531,13861,1853,3639,7174,1195
Ipswich,65479,6601,13433,38292,7153,35051,1941,3239,24133,5738,30428,4660,10194,14159,1415
Mid Suffolk,48570,5831,9310,25412,8017,26220,1413,1960,16275,6572,22350,4418,7350,9137,1445
St Edmundsbury,56483,5740,10544,31973,8226,30514,1673,2344,19849,6648,25969,4067,8200,12124,1578
Suffolk Coastal,58257,7354,11876,30154,8873,30981,2038,2674,19118,7151,27276,5316,9202,11036,1722
Waveney,49181,5895,11128,25687,6471,26061,1559,2642,16532,5328,23120,4336,8486,9155,1143
Camden,108966,9690,15239,58926,25111,57653,3663,6276,30936,16778,51313,6027,8963,27990,8333
City of London,4747,260,418,2252,1817,2883,137,190,1295,1261,1864,123,228,957,556
Hackney,118556,9974,22546,67993,18043,61808,4249,9548,36285,11726,56748,5725,12998,31708,6317
Hammersmith and Fulham,99618,7074,12156,57191,23197,51215,2785,4334,28759,15337,48403,4289,7822,28432,7860
Haringey,124296,10893,23865,72247,17291,65576,4363,9571,39829,11813,58720,6530,14294,32418,5478
Islington,106765,7790,14494,61581,22900,55698,3123,5416,32327,14832,51067,4667,9078,29254,8068
Kensington and Chelsea,81387,5949,10015,36875,28548,44770,2245,3765,18966,19794,36617,3704,6250,17909,8754
Lambeth,166494,11298,23883,102572,28741,87062,4457,8586,54747,19272,79432,6841,15297,47825,9469
Lewisham,136057,11762,24660,82036,17599,69753,4564,8598,44485,12106,66304,7198,16062,37551,5493
Newham,132454,14697,29883,75272,12602,78478,7872,15916,45279,9411,53976,6825,13967,29993,3191
Southwark,147388,11455,23310,86853,25770,77077,4456,8449,46737,17435,70311,6999,14861,40116,8335
Tower Hamlets,120873,9895,20014,67532,23432,70041,4597,11151,38207,16086,50832,5298,8863,29325,7346
Wandsworth,178582,11290,21047,106837,39408,91012,4000,7297,53745,25970,87570,7290,13750,53092,13438
Westminster,111179,7640,13917,54879,34743,62641,3202,6224,29136,24079,48538,4438,7693,25743,10664
Barking and Dagenham,75217,6745,15078,46263,7131,40277,2317,5013,27319,5628,34940,4428,10065,18944,1503
Barnet,170658,17500,31467,95329,26362,90085,5854,10639,54013,19579,80573,11646,20828,41316,6783
Bexley,110159,10148,20235,66690,13086,57318,2965,4815,39285,10253,52841,7183,15420,27405,2833
Brent,147461,13578,27679,87987,18217,80561,5715,11486,50227,13133,66900,7863,16193,37760,5084
Bromley,151368,14237,26162,88330,22639,78416,4133,6572,50774,16937,72952,10104,19590,37556,5702
Croydon,172987,15215,31605,105866,20301,89773,5369,9783,59765,14856,83214,9846,21822,46101,5445
Ealing,164820,13592,27512,101193,22523,90013,5188,10788,57800,16237,74807,8404,16724,43393,6286
Enfield,137622,13616,28540,79245,16221,72313,5188,10692,44548,11885,65309,8428,17848,34697,4336
Greenwich,117821,10420,21222,69660,16519,62676,3960,7307,39517,11892,55145,6460,13915,30143,4627
Harrow,113900,10835,21103,67397,14565,61833,3731,7387,39716,10999,52067,7104,13716,27681,3566
Havering,112846,10760,20158,67861,14067,59597,2920,4904,40503,11270,53249,7840,15254,27358,2797
Hillingdon,130290,12259,22475,79923,15633,70127,4401,6890,46745,12091,60163,7858,15585,33178,3542
Hounslow,127032,10703,21169,78585,16575,69965,4192,7981,45688,12104,57067,6511,13188,32897,4471
Kingston upon Thames,81957,8460,13695,47188,12614,43316,2873,4207,27130,9106,38641,5587,9488,20058,3508
Merton,104822,8316,16848,63103,16555,55906,2972,5782,35258,11894,48916,5344,11066,27845,4661
Redbridge,124692,11817,23842,73182,15851,68668,4552,9152,43161,11803,56024,7265,14690,30021,4048
Richmond upon Thames,99204,8813,14668,54424,21299,52434,2817,4106,30316,15195,46770,5996,10562,24108,6104
Sutton,97658,8632,16973,59518,12535,51003,2630,4447,34511,9415,46655,6002,12526,25007,3120
Waltham Forest,121021,10793,23069,73926,13233,65849,4443,9331,42564,9511,55172,6350,13738,31362,3722
Bracknell Forest,61914,5272,9680,37139,9823,32823,1544,2096,21685,7498,29091,3728,7584,15454,2325
Brighton and Hove,139823,15403,28766,78731,16923,73383,5509,9242,46644,11988,66440,9894,19524,32087,4935
Isle of Wight,59299,6470,14402,31938,6489,30678,2063,4085,19821,4709,28621,4407,10317,12117,1780
Medway,126689,12260,23004,74156,17269,68115,3483,5194,45408,14030,58574,8777,17810,28748,3239
Milton Keynes,127783,10506,21119,79695,16463,67910,3349,4977,46998,12586,59873,7157,16142,32697,3877
Portsmouth,96619,10493,18812,56064,11250,51505,3623,4985,34208,8689,45114,6870,13827,21856,2561
Reading,79852,7615,12571,50301,9365,43186,2567,3515,30281,6823,36666,5048,9056,20020,2542
Slough,67300,5470,11520,43072,7238,37144,2109,4098,25405,5532,30156,3361,7422,17667,1706
Southampton,112608,12994,20703,65968,12943,60632,4732,5741,40137,10022,51976,8262,14962,25831,2921
West Berkshire,81679,7843,13435,47282,13119,43640,2164,2859,28595,10022,38039,5679,10576,18687,3097
Windsor and Maidenhead,73951,6709,11705,41725,13812,39677,2005,2972,24364,10336,34274,4704,8733,17361,3476
Wokingham,81377,8274,13144,47267,12692,43417,2389,2818,28555,9655,37960,5885,10326,18712,3037
Aylesbury Vale,90724,8732,16063,51349,14580,48033,2567,3850,30407,11209,42691,6165,12213,20942,3371
Chiltern,44785,5434,7950,23387,8014,23819,1484,1937,14197,6201,20966,3950,6013,9190,1813
South Bucks,33117,3230,5240,18307,6340,17798,931,1244,10724,4899,15319,2299,3996,7583,1441
Wycombe,86350,8992,15005,49054,13299,46614,2815,4087,29563,10149,39736,6177,10918,19491,3150
Eastbourne,44449,4758,9543,24874,5274,23000,1626,2643,14772,3959,21449,3132,6900,10102,1315
Hastings,40671,3926,9193,22831,4721,21034,1273,2574,13596,3591,19637,2653,6619,9235,1130
Lewes,45532,5203,9918,24255,6156,23693,1594,2665,14725,4709,21839,3609,7253,9530,1447
Rother,37583,4344,8240,19179,5820,19827,1339,2251,11732,4505,17756,3005,5989,7447,1315
Wealden,71084,8581,14444,36456,11603,37600,2355,3489,22657,9099,33484,6226,10955,13799,2504
Basingstoke and Deane,90122,7978,14361,55288,12495,47831,2261,2999,32887,9684,42291,5717,11362,22401,2811
East Hampshire,58457,6519,10628,31740,9570,31065,1740,2378,19538,7409,27392,4779,8250,12202,2161
Eastleigh,65768,6507,12563,38030,8668,34313,1848,2518,23159,6788,31455,4659,10045,14871,1880
Fareham,56445,5700,10735,32302,7708,29604,1586,2143,19839,6036,26841,4114,8592,12463,1672
Gosport,40063,3484,7373,24092,5114,21343,982,1517,14787,4057,18720,2502,5856,9305,1057
Hart,48047,4973,7821,26942,8311,26001,1301,1590,16613,6497,22046,3672,6231,10329,1814
Havant,55555,5595,11383,31449,7128,29179,1603,2506,19422,5648,26376,3992,8877,12027,1480
New Forest,82993,9975,17045,44181,11792,43254,2730,3950,27335,9239,39739,7245,13095,16846,2553
Rushmoor,51087,4229,8063,31766,7029,27487,1242,1774,18897,5574,23600,2987,6289,12869,1455
Test Valley,59611,6209,10735,33465,9202,31602,1720,2282,20332,7268,28009,4489,8453,13133,1934
Winchester,57318,7309,10491,29583,9935,30063,2086,2505,17899,7573,27255,5223,7986,11684,2362
Ashford,57546,5919,10992,31824,8811,30334,1698,2518,19198,6920,27212,4221,8474,12626,1891
Canterbury,65620,8958,13676,33519,9467,33751,3027,3670,19947,7107,31869,5931,10006,13572,2360
Dartford,49611,4205,8482,30301,6623,26308,1163,1944,17972,5229,23303,3042,6538,12329,1394
Dover,50396,5025,10544,27821,7006,26602,1529,2744,16906,5423,23794,3496,7800,10915,1583
Gravesham,47639,4559,9097,27296,6687,25589,1249,2167,16819,5354,22050,3310,6930,10477,1333
Maidstone,78090,7706,14279,43789,12316,41797,2214,3312,26514,9757,36293,5492,10967,17275,2559
Sevenoaks,56015,6150,10174,29704,9987,29941,1590,2456,18009,7886,26074,4560,7718,11695,2101
Shepway,48280,4864,10016,26520,6880,25704,1527,2557,16177,5443,22576,3337,7459,10343,1437
Swale,62810,6010,11778,35441,9581,33604,1571,2681,21632,7720,29206,4439,9097,13809,1861
